,BU.SHF,EG.DCE,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,MA.CZC,PP.DCE,RB.SHF,TA.CZC,V.DCE,ZC.CZC
2014-11-12,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,0.0,7.0,-6.0,0.0,0.0
2014-11-13,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,0.0,7.0,-6.0,0.0,0.0
2014-11-14,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,0.0,7.0,-6.0,0.0,0.0
2014-11-17,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,0.0,7.0,-6.0,0.0,0.0
2014-11-18,4.0,0.0,0.0,-3.0,0.0,4.0,0.0,-7.0,0.0,7.0,-6.0,0.0,0.0
2014-11-19,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,-7.0,0.0,7.0,-6.0,0.0,0.0
2014-11-20,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,-6.0,0.0,7.0,-6.0,0.0,0.0
2014-11-21,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,-6.0,0.0,7.0,-6.0,0.0,0.0
2014-11-24,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,-6.0,0.0,7.0,-6.0,0.0,0.0
2014-11-25,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,-6.0,0.0,7.0,-6.0,0.0,0.0
2014-11-26,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,-6.0,0.0,7.0,-6.0,0.0,0.0
2014-11-27,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,-6.0,4.0,0.0,-6.0,0.0,0.0
2014-11-28,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-6.0,4.0,0.0,-6.0,0.0,0.0
2014-12-01,5.0,0.0,0.0,-3.0,0.0,4.0,0.0,-6.0,4.0,0.0,-6.0,0.0,0.0
2014-12-02,0.0,0.0,-6.0,-3.0,0.0,4.0,4.0,-6.0,4.0,0.0,0.0,0.0,0.0
2014-12-03,0.0,0.0,-6.0,-4.0,0.0,4.0,4.0,-6.0,4.0,0.0,0.0,0.0,0.0
2014-12-04,0.0,0.0,-6.0,-3.0,0.0,4.0,4.0,-6.0,4.0,0.0,0.0,0.0,0.0
2014-12-05,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-6.0,4.0,0.0,-6.0,0.0,0.0
2014-12-08,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-6.0,4.0,0.0,-6.0,0.0,0.0
2014-12-09,5.0,0.0,0.0,-3.0,0.0,4.0,0.0,-6.0,4.0,0.0,-7.0,0.0,0.0
2014-12-10,5.0,0.0,0.0,-3.0,0.0,4.0,0.0,-7.0,4.0,0.0,-7.0,0.0,0.0
2014-12-11,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,4.0,0.0,-7.0,0.0,0.0
2014-12-12,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,4.0,0.0,-7.0,0.0,0.0
2014-12-15,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,4.0,0.0,-7.0,0.0,0.0
2014-12-16,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-7.0,4.0,0.0,-7.0,0.0,0.0
2014-12-17,-5.0,0.0,0.0,-3.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,0.0,0.0
2014-12-18,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-19,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-22,0.0,0.0,0.0,-3.0,0.0,4.0,0.0,-8.0,4.0,0.0,-7.0,6.0,0.0
2014-12-23,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-24,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-25,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-26,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-29,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-30,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2014-12-31,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2015-01-05,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2015-01-06,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2015-01-07,-5.0,0.0,0.0,0.0,0.0,4.0,4.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2015-01-08,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2015-01-09,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,5.0,0.0,-7.0,0.0,0.0
2015-01-12,0.0,0.0,6.0,-3.0,0.0,4.0,0.0,-8.0,5.0,0.0,-7.0,0.0,0.0
2015-01-13,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-9.0,5.0,0.0,-7.0,0.0,0.0
2015-01-14,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-9.0,5.0,0.0,-7.0,0.0,0.0
2015-01-15,0.0,0.0,6.0,-3.0,2.0,0.0,0.0,-9.0,5.0,0.0,-7.0,0.0,0.0
2015-01-16,0.0,0.0,0.0,-3.0,2.0,0.0,4.0,-8.0,5.0,0.0,-7.0,0.0,0.0
2015-01-19,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,5.0,0.0,-7.0,0.0,0.0
2015-01-20,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,4.0,0.0,-7.0,0.0,0.0
2015-01-21,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,5.0,0.0,-7.0,0.0,0.0
2015-01-22,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,5.0,0.0,-7.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,-3.0,2.0,4.0,0.0,-8.0,5.0,0.0,-7.0,0.0,0.0
2015-01-26,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,5.0,-7.0,-7.0,0.0,0.0
2015-01-27,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,5.0,-7.0,-7.0,0.0,0.0
2015-01-28,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,5.0,-7.0,-7.0,0.0,0.0
2015-01-29,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,5.0,-7.0,-7.0,0.0,0.0
2015-01-30,0.0,0.0,0.0,0.0,2.0,4.0,4.0,-8.0,0.0,-7.0,-7.0,0.0,0.0
2015-02-02,0.0,0.0,0.0,0.0,2.0,4.0,4.0,-8.0,0.0,-7.0,-7.0,0.0,0.0
2015-02-03,0.0,0.0,0.0,0.0,2.0,4.0,4.0,-8.0,0.0,-7.0,-7.0,0.0,0.0
2015-02-04,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-05,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-06,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-09,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-10,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-11,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-12,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-13,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,4.0,-7.0,-7.0,0.0,0.0
2015-02-16,-6.0,0.0,6.0,-3.0,2.0,4.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0
2015-02-17,-6.0,0.0,6.0,-3.0,2.0,4.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,-6.0,0.0,6.0,-3.0,2.0,4.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0
2015-02-26,-6.0,0.0,6.0,0.0,2.0,4.0,0.0,-7.0,0.0,0.0,-7.0,0.0,0.0
2015-02-27,-6.0,0.0,6.0,-3.0,2.0,4.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,-5.0,0.0,6.0,-3.0,2.0,4.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
2015-03-03,-5.0,0.0,6.0,-3.0,2.0,4.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0
2015-03-04,-5.0,0.0,6.0,-3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
2015-03-05,-5.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,-7.0,0.0,-6.0,0.0
2015-03-06,-5.0,0.0,7.0,0.0,2.0,4.0,0.0,-7.0,0.0,0.0,0.0,-6.0,0.0
2015-03-09,0.0,0.0,7.0,0.0,2.0,4.0,0.0,-7.0,0.0,0.0,-7.0,-6.0,0.0
2015-03-10,-6.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,0.0
2015-03-11,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,-7.0,-7.0,-6.0,0.0
2015-03-12,0.0,0.0,7.0,-4.0,0.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,0.0
2015-03-13,0.0,0.0,7.0,-4.0,0.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,0.0
2015-03-16,0.0,0.0,7.0,-4.0,0.0,4.0,0.0,7.0,0.0,-7.0,-7.0,0.0,0.0
2015-03-17,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,0.0
2015-03-18,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,0.0
2015-03-19,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,-6.0,0.0
2015-03-20,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,-6.0,0.0
2015-03-23,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,-6.0,0.0
2015-03-24,0.0,0.0,0.0,-4.0,0.0,4.0,4.0,0.0,4.0,-7.0,0.0,-6.0,0.0
2015-03-25,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,-6.0,0.0
2015-03-26,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,-6.0,0.0
2015-03-27,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,-6.0,0.0
2015-03-30,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,-6.0,0.0
2015-03-31,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,-6.0,0.0
2015-04-01,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,-6.0,0.0
2015-04-02,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-7.0,4.0,0.0,-7.0,-6.0,0.0
2015-04-03,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,-7.0,4.0,0.0,-7.0,0.0,0.0
2015-04-07,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,0.0,0.0
2015-04-08,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,0.0,0.0
2015-04-09,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,0.0,0.0
2015-04-10,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,0.0,0.0
2015-04-13,-5.0,0.0,0.0,-5.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,0.0,0.0
2015-04-14,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-7.0,0.0,0.0
2015-04-15,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-16,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-17,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-20,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-21,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-22,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-23,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-24,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-27,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,-7.0,0.0,0.0,0.0
2015-04-28,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-04-29,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-04-30,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,-6.0,0.0
2015-05-04,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,-6.0,0.0
2015-05-05,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-06,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-07,-5.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,0.0,-6.0,0.0,0.0
2015-05-08,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-11,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-12,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-13,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-14,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-15,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-18,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,0.0
2015-05-19,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,0.0,0.0,-4.0
2015-05-20,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,-4.0
2015-05-21,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-05-22,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-05-25,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,-4.0
2015-05-26,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-05-27,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-05-28,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-05-29,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-06-01,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-06-02,0.0,0.0,0.0,-4.0,2.0,4.0,0.0,0.0,4.0,-7.0,0.0,0.0,-4.0
2015-06-03,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,0.0,0.0,-4.0
2015-06-04,-5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,0.0,0.0,-4.0
2015-06-05,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,-4.0
2015-06-08,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,-4.0
2015-06-09,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,-4.0
2015-06-10,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-7.0,0.0,-4.0
2015-06-11,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,-4.0
2015-06-12,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,-7.0,-6.0,0.0,-4.0
2015-06-15,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,-7.0,-7.0,0.0,-4.0
2015-06-16,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,-7.0,-7.0,6.0,-4.0
2015-06-17,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,-7.0,-7.0,0.0,-4.0
2015-06-18,0.0,0.0,0.0,4.0,2.0,4.0,0.0,-7.0,0.0,-7.0,-7.0,0.0,0.0
2015-06-19,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,-7.0,-7.0,0.0,-4.0
2015-06-23,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,-7.0,-7.0,0.0,-4.0
2015-06-24,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,-7.0,-7.0,0.0,-4.0
2015-06-25,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,-7.0,-7.0,0.0,-4.0
2015-06-26,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,-8.0,-7.0,0.0,-4.0
2015-06-29,0.0,0.0,0.0,4.0,2.0,4.0,-3.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-06-30,0.0,0.0,0.0,4.0,2.0,4.0,-3.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,4.0,2.0,4.0,-3.0,-7.0,0.0,-8.0,0.0,0.0,0.0
2015-07-02,0.0,0.0,0.0,4.0,2.0,4.0,-3.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-03,6.0,0.0,0.0,0.0,2.0,4.0,-3.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-06,6.0,0.0,0.0,0.0,2.0,4.0,-3.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-07,6.0,0.0,0.0,0.0,2.0,4.0,-3.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-08,6.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-9.0,-7.0,0.0,0.0
2015-07-09,7.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-9.0,-8.0,0.0,0.0
2015-07-10,7.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-13,7.0,0.0,0.0,0.0,2.0,4.0,-3.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-14,7.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-15,7.0,0.0,0.0,0.0,2.0,5.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-16,7.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-17,7.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-20,6.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-21,6.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-22,6.0,0.0,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-23,0.0,0.0,0.0,5.0,2.0,5.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-24,6.0,0.0,0.0,0.0,2.0,5.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-27,0.0,0.0,0.0,5.0,2.0,5.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-28,7.0,0.0,0.0,0.0,2.0,5.0,-4.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-29,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-30,7.0,0.0,-8.0,0.0,2.0,4.0,0.0,0.0,0.0,-8.0,-7.0,0.0,0.0
2015-07-31,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-08-03,7.0,0.0,0.0,0.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-08-04,7.0,0.0,0.0,5.0,0.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-08-05,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,-7.0,-6.0,0.0
2015-08-06,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-08-07,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,-7.0,-6.0,0.0
2015-08-10,0.0,0.0,0.0,4.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,-6.0,0.0
2015-08-11,0.0,0.0,0.0,5.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,-6.0,0.0
2015-08-12,0.0,0.0,0.0,4.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,-6.0,0.0
2015-08-13,0.0,0.0,0.0,4.0,2.0,4.0,0.0,-8.0,0.0,0.0,-7.0,0.0,-4.0
2015-08-14,7.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,0.0,0.0,-7.0,0.0,-4.0
2015-08-17,7.0,0.0,0.0,0.0,2.0,4.0,0.0,-8.0,0.0,0.0,-7.0,0.0,-4.0
2015-08-18,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,-4.0
2015-08-19,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-08-20,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,-4.0
2015-08-21,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,-4.0
2015-08-24,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-08-25,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-08-26,8.0,0.0,-9.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-8.0,0.0,0.0
2015-08-27,7.0,0.0,-9.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-8.0,0.0,0.0
2015-08-28,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-8.0,0.0,0.0
2015-08-31,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-09-01,7.0,0.0,-9.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-09-02,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-07,7.0,0.0,-8.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-09-08,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-09,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-10,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-11,7.0,0.0,0.0,0.0,2.0,5.0,-4.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-09-14,7.0,0.0,0.0,0.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-15,0.0,0.0,0.0,4.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-16,0.0,0.0,0.0,4.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-17,0.0,0.0,0.0,4.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-18,0.0,0.0,0.0,4.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-21,0.0,0.0,0.0,4.0,2.0,5.0,0.0,-9.0,0.0,0.0,-7.0,0.0,-4.0
2015-09-22,0.0,0.0,0.0,4.0,2.0,5.0,-4.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-09-23,7.0,0.0,0.0,0.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-09-24,0.0,0.0,0.0,4.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-09-25,0.0,0.0,0.0,4.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-09-28,7.0,0.0,0.0,0.0,2.0,5.0,-4.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-09-29,0.0,0.0,0.0,5.0,2.0,5.0,-4.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-09-30,0.0,0.0,0.0,5.0,2.0,5.0,-4.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-10-08,0.0,0.0,0.0,5.0,2.0,5.0,-4.0,-9.0,0.0,0.0,-7.0,0.0,0.0
2015-10-09,0.0,0.0,0.0,4.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-10-12,7.0,0.0,0.0,0.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-10-13,0.0,0.0,0.0,4.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
2015-10-14,0.0,0.0,0.0,4.0,2.0,5.0,-4.0,-8.0,0.0,0.0,-7.0,0.0,0.0
